0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,2.7,,,1.7,2.0,1967,,4.5,,,3.7,,,4.6,,,5.1,,
1961,2.2,3.7,3.1,2.6,1.7,1.7,1.8,,1.7,1.6,,,,,,,,,,,,,,,,
,,,,,,,,2.4,,,,2.0,1968,,4.3,,,4.2,,,4.7,,,5.1,,
1962,1.9,1.9,1.5,1.6,1.4,1.5,1.7,,2.7,1.6,1.8,,,,,,,,,,,,,,,
1963,1.7,2.0,1.6,1.6,1.4,1.3,1.3,2.1,2.1,1.4,1.6,1.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,WOMEN  -,SEPARATIONS  PER  100  WOMEN,,,,,,,
1964,1.5,2.0,1.5,1.4,1.2,1.3,1.3,2.2,1.3,1.1,1.4,1.3,,,,,,,,,,,,,,
1965,1.2,1.4,1.0,1.0,.9,.9,1.0,1.8,1.8,1.0,1.2,1.2,1958,,6.8,,,5.0,,,3.9,,,4.3,,
1966,1.0,1.1,.9,.7,.7,.8,.9,2.2,1.0,.8,.8,1.1,1959,,4.0,,,3.7,,,4.2,,,5.4,,
1967,1.3,1.5,1.4,1.5,1.3,1.0,1.1,2.0,1.2,1.1,1.1,1.0,1960,,4.0,,,4.6,,,4.3,,,4.6,,
1968,1.1,1.4,1.2,1.0,.8,.9,.9,1.7,1.4,1.0,1.0,1.0,,,,,,,,,,,,,,
1969,1.1,1.1,1.0,.8,.8,.8,.9,1.6,1.1,.9,\ 2,1.2,1961,,5.1,,,3.6,,,4.0,,,4.0,,
1970,2.0,1.9,1.8,1.7,1.9,1.7,1.6,2.5,1.8,1.6,2.5,2.2,1962,,4.1,,,3.7,,,4.4,,,4.3,,
,,,,,,,,,,,,,1963,,4.7,,,3.8,,,4.2,,,4.1,,
1971,1.6,2.0,1.5,1.4,1.4,1.1,1.2,2.4,2.1,1.3,1.5,1.4,1964,,4.5,,,3.7,,,4.3,,,4.0,,
1972,1.0,1.4,1.0,.9,.8,.7,1.0,1.8,.7,.7,.7,.8,1965,,3.7,,,3.6,,,4.1,,,3.9,,
1973,.7,.9,.6,.6,.5,.5,.5,1.2,.7,.5,.6,.8,1966,,4.0,,,3.9,,,4.7,,,4.5,,
1974,1.5,2.0,1.3,1.1,.7,.6,.6,1.2,1.0,1.0,1.7,2.8,1967,,4.8,,,4.6,,,4.4,,,4.5,,
1975,,4.4,3.0,2.5,2.2,1.9,1.6,,,,,,1968,,4.4,,,3.8,,,4.4,,,4.5,,
,,,,,,MEN  - ACCESSIONS PER  100  MEN,,,,,,,,,,,,,WOMEN  -   QUITS PER  100  WOMEN,,,,,,,
1958,,2.5,,,2.9,,,3.7,,,3.9,,1958,,1.4,,,1.0,,,1.3,,,1.6,,
1959,,3.8,,,4.2,,,3.6,,,3.4,,1959,,1.4,,,1.5,,,1.9,,,2.0,,
1960,,4.1,,,3.2,,,3.2,,,3.1,,1960,,1.5,,,1.5,,,1.6,,,1.5,,
1961,,3.7,,,4.1,,,3.7,,,3.8,,1961,,1.3,,,1.2,,,1.5,,,1.8,,
1962,,4.1,,,3.9,,,3.7,,,3.5,,1962,,1.5,,,1.5,,,1.7,,,1.7,,
1963,,3.4,,,3.8,,,3.5,,,3.4,,1963,,1.4,,,1.3,,,1.6,,,1.7,,
1964,,3.4,,,3.7,,,3.7,,,3.3,,1964,,1.4,,,1.3,,,1.6,,,1.7,,
1965,,3.5,,,3.6,,,3.8,,,4.0,,1965,,1.5,,,1.6,,,1.8,,,2.1,,
1966,,4.6,,,4.5,,,4.4,,,4.6,,1966,,2.0,,,2.3,,,2.5,,,2.8,,
1967,,4.0,,,3.7,,,4.0,,,4.2,,1967,,2.3,,,2.0,,,2.1,,,2.4,,
1968,,4.0,,,4.2,,,4.2,,,4.7,,1968,,2.0,,,2.0,,,2.3,,,2.6,,
,,,,,MEN -,SEPARATIONS  PER  100  MEN,,,,,,,,,,,,,,,,,,,,
,,,,,4.4,,,3.6,,,3.5,,SIC 19 -,,ORDNANCE AND ACCESSORIES,,,,,,,,,,,
1958,,5.7,,,,,,,,,,,,,,,,,,,,,,,,
1959,,3.5,,,3.2,,,3.8,,,6.1,,,,,,,,,,,,,,,
1960,,3.2,,,4.1,,,4.6,,,4.4,,,,,,,ALL  EMPLOYEES -,,IN THOUSANDS,,,,,,
,,,,,,,,,,,,,1939,11,10,11,11,11,11,11,11,11,12,12,13,13
1961,,5.0,,,3.0,,,4.4,,,3.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1940,22,13,15,17,18,19,21,22,24,26,28,30,34
1962,,3.6,,,3.2,,,4.4,,,3.8,,,,,,,,,,,,,,,
1963,,3.5,,,3.2,,,4.0,,,3.6,,1941,,,,,,,,,,,,,
,,,,,,,,,,,,,,71,39,42,46,50,53,62,68,73,81,95,109,139
1964,,3.7,,,3.1,,,4.3,,,3.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1942,329,176,208,241,276,308,332,364,375,384,405,429,454
1965,,3.3,,,3.2,,,4.1,,,4.1,,1943,,,,,,,,,,,,,
,,,,,,,,,,,,,,486,482,485,496,501,493,492,489,487,488,489,485,443
1966,,3.6,,,4.0,,,5.5,,,4.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1944,368,424,414,387,358,354,353,354,353,352,351,350,360
1967,,4.3,,,4.1,,,4.8,,,4.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1945,245,370,378,374,368,358,327,288,231,86,68,56,41
1968,,4.1,,,3.9,,,4.9,,,4.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1946,30,38,34,32,31,28,28,29,27,30,28,28,27
,,,,,,,,,,,,,1947,27,26,26,27,27,27,27,27,24,27,27,27,27
,,,,,,MEN -   QUITS PER  100  MEN,,,,,,,1948,,,,,,,,,,,,,
,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28
1958,,.7,,,.6,,,.8,,,1.0,,1949,26,28,28,28,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,27,26,25,24,24,24,25,25
1959,,.8,,,1.3,,,1.3,,,1.4,,1950,30,25,25,26,27,27,28,28,30,32,35,36,37
See footnotes a t end o f tables.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4 6,,,,,,,,,,,,,
