0,1,2,3,4,5,6
"Boise City, Idaho _____",9,"1, 650","16, 700Lawrence-Haverhill,",,,
,,,Mass.-N. H ___	---_-__,10,"2, 760","57, 800"
"Boston, Mass _________",69,"38, 800","744, 000Lewiston-Auburn, Maine ____",5,320,"1, 560"
"Bridgeport, Conn",13,"5, 330","18, 800Lexington, Ky _____----.----",6,"1, 310","5, 210"
"Brockton, Mass	 ,_",7,960,"6, 540Lima, Ohio -_-__________-",8,"3, 800","55, 500"
"Buffalo, N. Y ________",55,"16, 100","_116, 000Lincoln, Nebr 	_",6,920,"20, 800"
"Canton, Ohio",16,"3, 160","25, 600",,,
,,,"Little Rock-North Little Rock,",,,
"Cedar Rapids, Iowa",10,"1, 170","19, 500Ark ______--______---",7,"3, 660","68, 900"
"Champaign-Urbana, Ill ____",5,"3, 310","21, 000Lorain-Elyria, Ohio ---_ 	_",14,"5, 820","86, 500"
"Charleston, S. C ________",5,460,"1, 660Los Angeles-Long Beach, Calif __",88,"26, 100","318, 000"
"Charleston, W. Va _______",11,"1, 380","Louisville, Ky.-Ind _______16, 300",42,"36, 200","521, 000"
"Chattanooga, Tenn. -Ga ___",17,"6, 870","110, 000Lowell, Mass _____---",5,"1, 900","34, 800"
"Chicago, Ill _",88,"70, 900","1, 080, 000Madison, Wis _",5,70,590
"Cincinnati, Ohio-Ky.-Ind ____",40,"24, 000","157, 000 Mansfield, Ohio ______",8,"1, 880","12, 500"
"Cleveland, Ohio ________",67,"21, 600","269, 000 Memphis, Tenn.-Ark ___",26,"5, 380","47, 200"
"Columbus, Ga.-Ala ___---",8,"1, 480","_14, 600 Miami, Fla __",26,"43, 100","958, 000"
"Columbus, Ohio _________",30,"13, 300","218, 000 Milwaukee, Wis __----_",40,"20, 400","269, 000"
"Dallas, Tex _____----",19,"4, 070","109, 000 Minneapolis-St. Paul, Minn _",41,"29, 800","370, 000"
Davenport-Rock Island-,,,"Mobile, Ala-______-",7,"3, 320","50, 200"
"Moline, Iowa-Ill ___---_",19,"7, 990","Muncie, Ind ________68, 100",10,"4, 800","16, 000"
"Dayton, Ohio",29,"18, 900","Muskegon-Muskegon Heights,113, 000",,,
"Decatur, Ill ______--",9,"1, 870","58, 100Mich	_________",9,"5, 590","16, 100"
"Denver, Colo	_-----",19,"11, 300","212, 000 Nashville, Term ------",19,"10, 900","72, 700"
"Des Moines, Iowa _",24,"4, 290","32, 500New Bedford, Mass _____",8,"1,480","43, 000"
"Detroit, Mich _-----___",120,"85, 000","993, 000 New Haven, Conn __-_-",12,"7, 690","39, 800"
"Dubuque, Iowa ________",5,210,"1, 120New London-Groton-",,,
"Duluth-Superior, Minn. -Wis ___",10,"1, 480","38, 200Norwich, Conn ______--",5,230,"2, 160"
"Erie, Pa ___-------_",11,"2, 230","44, 600 New Orleans, La ___-----",26,"4, 610","53, 000"
,,,"New York, N. Y --_____",287,"147, 000","1, 940, 000"
"Evansville, Ind.-Ky ______",14,"3, 410","59, 000",,,
"Fall River, Mass.-R. I _______",13,"1, 020","Newark, N. J ___________4, 080",72,"18, 500","163, 000"
"Fitchburg-Leominster, Mass _",7,"1, 680","9,460Norfolk-Portsmouth, Va",5,940,"4, 690"
"Flint, Mich _",16,"5, 190","43, 600Oklahoma City, Okla",6,500,"8, 630"
Fort Lauderdale-,,,"__Omaha, Nebr. Iowa 	.",11,"8, 020","31, 200"
"Hollywood, Fla __---__---",9,"7, 550","70, 700Orlando, Fla _ 	_--",8,370,"11, 500"
"Fort Smith, Ark.-Okla ____",6,740,"_15, 700Paducah, Ky",8,". 4, 530","22, 300"
"Fort Wayne, Ind",11,"9, 510","Paterson-Clifton-81, 700",,,
"Fort Worth, Tex _______",16,"1, 480","18, 200Passaic, N. J _",44,"12, 900","120, 000"
"Fresno, Calif _______",12,920,"10, 300Peoria, Ill __________",14,"6, 750","179, 000"
"Galveston-Texas City, Tex __",7,"3, 760","Philadelphia, Pa.-N. J ____58, 600",138,"65, 600","450, 000"
,,,"Phoenix, Ariz ________",13,"2, 320","15, 700"
Gary-Hammond-,,,,,,
"East Chicago, Ind ______",33,"8, 370","71, 700Pittsburgh, Pa _________",93,"32, 000","491, 000"
"Grand Rapids, Mich _____",25,"6, 130","_____98, 500Pittsfield, Mass",6,"5, 810","31, 700"
"Green Bay, Wis ________",6,610,"2, 830Portland-Oreg.-Wash ______",26,"8, 250","99, 400"
"Greensboro-High Point, N. C __",5,210,"4, 180Providence-Pawtucket-",,,
"Hamilton-Middletown, Ohio ___",11,220,"18, 200Warwick, R.I.-Mass ___",31,"5, 110","140, 000"
,,,"Provo-Orem, Utah _______",5,"1, 070","8, 000"
"Harrisburg, Pa _______",9,720,"7, 170",,,
"Hartford, Conn _______",24,"2, 820","Pueblo, Colo ___________66,400",5,240,"1, 390"
"Honolulu, Hawaii _________",18,"2, 660","Racine, Wis _________36, 400",6,"1, 860","8, 040"
"Houston, Tex _ -____",39,"29, 400","397, 000Reading, Pa _________L_____",20,"9, 190","119, 000"
"Huntington-Ashland, W.  Va.-",,,"Reno, Nev __ ________ _______",10,900,"36, 300"
Ky.-Ohio,22,"12, 800","__104, 000Richmond, Va",9,"2, 950","42, 500"
