0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,,,,,,,,,,,,,,,,1967,1.4,1.5,1.3,,1.5,1.3,,1.1,,1.1,,1.9,1.2,1.2,1.3,1.3,1 .6
1951,2.9,2.5,2.5,,3.0,,3.3,,3.2,,3.1,,3.0,3.7,3.8,3.1,2.4,,1968,1.2,1.5,1.2,,1.1,1.0,,1.0,,.9,,1.8,1.3,1.1,,,
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,1.2,1 .2,1.4
1952,2 .8,2 .2,2.3,,2.4,,2.7,,2.5,,2.7,,2.7,3.6,4.3,3.5,2.7,2 .0,1969,1.2,1.2,1.0,,1.0,.9,,.9,,1.0,,1.6,1.1,1.1,1.3,1.3,1 .8
1953,2 .8,2.5,2.5,,3.0,,3.3,,3.1,,3.2,,3.1,3.5,3.8,2 .6,1.9,1.3,1970,1.8,1.7,1.5,,1.6,1.7,,1.5,,1.5,,2.3,1.7,1.7,2 .2,2 .1,2 .2
1954,1.4,1.3,1.2,,1.2,,1.4,,1.2,,1.3,,1.4,1.7,2 .2,1.5,1.3,1.0,,,,,,,,,,,,,,,,,,
1955,1.9,1.2,1.2,,1.5,,1 .8,,1.7,,1.8,,2 .0,2.7,3.5,2 .2,1.8,1.3,1971,1.6,1.9,1.4,,1.4,1.4,,1.2,,1.2,,2.1,1.8,1.5,1.5,1.5,1.8
1956,1.9,1.6,1.6,,1.7,,1 .8,,1 .8,,2 .0,,1.9,2.7,3.2,2.1,1.6,1.2,1972,1.1,1.4,1.1,,1.1,1.0,,.8,,1.1,,1.7,.9,.9,.9,1.0,1.3
1957,1.6,1.5,1.4,,1.5,,1 .6,,,,,,1.7,2.3,2.7,,,,1973,.9,1.0,.7,,.8,.7,,.6,,.6,,1.4,8,.7,,,
,,,,,,,,,1.6,,1.6,,,,,1.6,1.1,.8,,,,,,,,,,,,,,,,.8,1.1,1.5
1958,1.1,.9,.8,,.8,,.8,,.9,,1.0,,1.1,1.5,1.9,1.3,1.0,.8,1974,1.5,1.7,1.2,,1.1,.9,,.8,,.8,,1.4,1.1,1.2,1.8,2 .8,3.6
1959,1.5,1.1,1.0,,1.2,,1.4,,1.5,,1.5,,1.6,2 .1,2 .6,1.7,1.2,1.0,1975,,4.1,2.9,,2.5,2 .1,,1.8,,1.5,,,,,,,
1960,1.3,1.2,1.2,,1.2,,1.4,,1.3,,1.4,,1.4,1.8,2.3,1.3,.9,.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MEN- ACCESSIONS  PER  100  MEN,,,,,,,,,,
1961,1 .2,.9,.8,,.9,,1 .0,,1.1,,1.2,,1.2,1.7,2.3,1.4,1.1,.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1958,,2.5,,,,2.9,,,,,,3.7,,,3.7,,
1962,1.4,1.1,1.1,,1.2,,1.3,,1.5,,1.5,,1.4,2 .1,2.4,1.5,1.1,.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1959,,3.5,,,,3.9,,,,,,3.8,,,3.5,,
1963,1.4,1.1,1.0,,1.2,,1.3,,1.4,,1.4,,1.4,2 .1,2.4,1.5,1.1,.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1960,,3.7,,,,3.2,,,,,,3.4,,,3.2,,
1964,1.5,1.2,1.1,,1.2,,1.3,,1.5,,1.4,,1.5,2 .1,2.7,1.7,1.2,1.0,,,,,,,,,,,,,,,,,,
1965,1.9,1.4,1.3,,1.5,,1.7,,1.7,,1.7,,1.8,2 .6,3.5,2 .2,1.7,1.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1961,,3.3,,,,3.7,,,,,,3.8,,,3.8,,
1966,2 .6,1.9,1.8,,2.3,,2.5,,2.5,,2.5,,2.5,3.6,4.5,2 .8,2.1,1.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1962,,3.7,,,,3.8,,,,,,4.0,,,3.5,,
1967,2.3,2 .1,1.9,,2.1,,2 .2,,2 .2,,2.3,,2 .1,3.2,4.0,2.5,1.9,1.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1963,,3.2,,,,3.7,,,,,,3.8,,,3.5,,
1968,2.5,2 .0,1.9,,2.1,,2 .2,,2.4,,2.3,,2.4,3.8,4.2,2 .8,2.1,1.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1964,,3.2,,,,3.5,,,,,,3.9,,,3.5,,
1969,2.7,2.3,2.1,,2.4,,2 .6,,2.7,,2 .6,,2.7,4.0,4.4,3.0,2.1,1.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1965,,3.4,,,,3.5,,,,,,4.1,,,4.1,,
1970,2 .1,2 .1,1.9,,2 .0,,2 .1,,2 .1,,2.1,,2.1,3.0,3.3,2.1,1.4,1.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1966,,4.3,,,,4.4,,,,,,4.7,,,4.7,,
,,,,,,,,,,,,,,,,,,,1967,,4.0,,,,3.8,,,,,,4.3,,,4.4,,
1971,1 .8,1.5,1.3,,1.5,,1.6,,1.7,,1 .8,,1.8,2 .8,2.9,2 .0,1.5,1.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1968,,4.0,,,,4.2,,,,,,4.6,,,4.8,,
1972,2 .2,1.7,1.6,,1.9,,2 .0,,2 .2,,2 .2,,2 .2,3.6,3.5,2.5,1.9,1.6,,,,,,,,,,,,,,,,,,
1973,2.7,2 .2,2.1,,2.5,,2.5,,2.7,,2 .8,,2 .8,4.5,3.9,3.0,2 .2,1.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MEN- SEPARATIONS  PER  100  MEN,,,,,,,,,,
1974,2.3,2 .2,1.9,,2.3,,2.4,,2 .6,,2.5,,2.5,4.0,3.2,2 .2,1.4,.9,,,,,,,,,,,,,,,,,,
1975,,1.1,.9,,1.0,,1.1,,1.3,,1.3,,,,,,,,1958,,4.9,,,,4.0,,,,,,3.4,,,3.6,,
,,,,,,,,,,,,,,,,,,,1959,,3.4,,,,3.2,,,,,,3.7,,,5.3,,
,,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,,,,,1960,,3.2,,,,3.8,,,,,,4.2,,,4.3,,
1930,3.6,3.1,2.7,,3.0,,2.9,,3.2,,3.7,,5.1,4.6,3.9,3.8,3.5,3.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1961,,4.4,,,,3.0,,,,,,3.9,,,3.9,,
,,,,,,,,,,,,,,,,,,,1962,,3.6,,,,3.2,,,,,,4.1,,,4.0,,
1931,3.5,2.3,2 .0,,2 .0,,2.3,,2 .8,,4.7,,4.0,2 .8,5.3,6.5,3.8,3.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1963,,3.5,,,,3.2,,,,,,3.8,,,3.7,,
1932,4.2,2.9,2.7,,3.6,,5.2,,5.1,,5.9,,5.4,3.5,4.5,3.4,3.4,4.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1964,,3.6,,,,3.1,,,,,,4.0,,,3.8,,
1933,3.2,3.2,4.2,,4.2,,2.3,,1.5,,1.5,,2.4,2 .2,2.9,4.6,4.8,4.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1965,,3.4,,,,3.3,,,,,,4.0,,,4.2,,
1934,3.7,2.7,2.1,,2.3,,2.3,,4.4,,4.3,,3.6,4.2,4.3,5.7,4.7,3.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1966,,3.7,,,,4.1,,,,,,5.2,,,4.6,,
1935,3.0,2.4,2.1,,2.5,,2.9,,3.5,,4.3,,3.2,3.1,2.5,2 .6,3.3,3.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1967,,4.3,,,,4.1,,,,,,4.6,,,4.4,,
1936,2.4,3.1,2.4,,2 .0,,2 .2,,2.5,,2.3,,2 .2,3.7,1.9,2 .2,2.1,2.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1968,,4.1,,,,4.0,,,,,,4.8,,,4.8,,
1937,3.5,2 .2,1.5,,1.6,,1.7,,2.1,,2.3,,2.5,3.0,3.5,5.4,7.0,8 .8,,,,,,,,,,,,,,,,,,
1938,3.9,6 .2,4.2,,4.0,,4.4,,4.4,,4.5,,3.7,2.7,3.3,3.1,2.9,3.9,,,,,,,,,,,,,,,,,,
1939,2 .6,2.4,2.1,,2.4,,2.9,,3.2,,3.1,,2.9,2.4,2 .0,2.4,2.5,3.3,,,,,,,,MEN  -   QUITS  PER  100  MEN,,,,,,,,,,
1940,2 .6,3.0,3.0,,2.7,,3.1,,3.3,,2 .8,,2 .8,1.9,1.9,2 .0,2.0,2.4,1958,,.7,,,,.7,,,,,,.9,,,1.1,,
,,,,,,,,,,,,,,,,,,,1959,,-.9,,,,1.2,,,,,,1.4,,,1.4,,
1941,1.6,1.8,1.3,,1.2,,1.4,,1.3,,1.2,,1.7,1.3,1.5,1.8,1.8,2 .8,1960,,1.0,,,,1.2,,,,,,1.1,,,1.0,,
1942,1.3,1.8,1.5,,1.3,,1.5,,1.7,,1.5,,1.3,1.0,.9,1.1,.9,.9,,,,,,,,,,,,,,,,,,
1943oh,.7,.8,.5,,.5,,.7,,.6,,.6,,.6,.6,.6,.7,.9,1.3,1961,,.7,,,,.8,,,,,,1.0,,,1.2,,
1944,.7,.9,.9,,1.0,,.7,,.6,,.6,,.6,.6,.8,.7,.6,.6,1962,,.9,,,,1.2,,,,,,1.2,,,1.3,,
1945,2 .6,.7,.8,,.8,,.9,,1.4,,2 .1,,1.8,1 1 .0,5.1,3.0,2.1,1.6,1963,,.9,,,,1.1,,,,,,1.2,,,1.3,,
1946,1.4,2.1,1.9,,2 .0,,1 .6,,1.8,,1.5,,.7,.8,1.3,1.3,.9,1.3,1964,,1.0,,,,1.2,,,,,,1.3,,,1.5,,
1947,1.1,1.0,.9,,1.0,,1.1,,1.7,,1.4,,1.2,.9,1.1,1 .2,1.0,1.1,1965,,1.2,,,,1.6,,,,,,1.6,,,2 .0,,
1948,1 .6,1.4,1.9,,1.3,,1.4,,1.3,,1.4,,1.2,1.4,1.3,1.6,1.8,2 .8,1966,,1.7,,,,2.4,,,,,,2.3,,,2 .6,,
1949,2.9,2.9,2.5,,3.0,,3.2,,3.9,,3.1,,2.5,2 .1,2.3,3.0,3.2,2.5,1967,,1.9,,,,2 .1,,,,,,1.9,,,2.3,,
1950,1.3,1.9,1.9,,1.5,,1.4,,1.3,,1.1,,.7,.7,.9,1.1,1.4,1.6,1968,,1.8,,,,2 .2,,,,,,2 .2,,,2.7,,
See footnotes at  end o f tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4 2,,,,,,,,,,,,,,,,,,
