0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1965,2.5,2.6,2.8,2.6,1.7,1.8,3.5,2.0,2.6,2.8,2.5,2.7,2.3,1970,1.2,1.1,1.4,1.3,1.3,1.3,1.2,,1.1,1.8,1.9,.9,.7,.5
1966,3.3,3.0,2.5,2.9,2.5,3.1,5.1,2.6,5.7,3.5,3.2,2.9,2.2,,,,,,,,,,,,,,,
1967,2.3,2.7,2.4,1.8,1.7,2.4,3.5,2.0,2.8,2.7,2.4,2.0,1.7,1971,.9,.7,.7,.8,.8,.8,.9,,.8,1.4,1.3,.8,.7,.5
1968,2.7,2.4,2.3,2.6,2.1,2.6,3.9,3.0,2.6,3.5,3.2,2.3,2.0,1972,1.0,.7,.7,.9,1.0,.8,1.0,,.9,1.8,1.5,1.0,.8,.8
1969,3.4,3.0,3.1,3.1,3.0,2.9,5.5,3.1,4.4,4.3,3.7,2.6,2.3,1973,1.5,1.2,.9,1.3,1.2,1.3,1.4,,1.3,3.1,2.1,1.8,1.4,.9
1970,2.8,3.1,3.0,3.2,2.6,3.2,4.7,3.1,3.1,1.8,2.4,2.0,1.8,1974,1.6,1.2,1.2,1.5,1.6,1.5,1.6,,1.6,3.2,2.1,1.6,1.1,.7
,,,,,,,,,,,,,,1975,,.9,.6,.7,.7,.7,.7,,,,,,,
1971,2.4,2.3,2.2,2.0,2.0,2.7,3.4,2.1,3.5,2.3,2.7,2.5,1.6,,,,,,,,,,,,,,,
1972,2.9,2.9,2.7,2.8,2.7,3.2,3.0,2.4,3.9,3.7,2.9,2.2,2.2,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,,
1973,3.1,3.4,2.8,3.1,2.9,3.2,3.6,2.5,3.5,3.3,4.2,2.7,1.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,3.2,6.7,4.7,4.8,4.3,3.5,3.3,,2.9,2.0,1.7,2.1,1.4,1.0
1974,3.3,3.4,2.7,3.3,3.5,4.0,4.4,3.1,3.6,3.9,3.7,2.1,1.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,1.9,1.5,1.2,2.2,1.6,1.0,1.4,,.7,1.2,2.5,6.9,2.3,.8
1975,,2.4,2.0,2.6,2.5,2.8,4.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1960,2.7,.9,1.4,1.9,2.0,3.4,2.3,,1.7,3.3,3.5,2.3,2.8,6.6
,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,3.3,8.7,8.2,12.0,1.5,1.2,.8,,1.5,.8,.9,1.0,1.7,1.2
1958,.6,.4,.2,.3,.4,.4,.8,.5,.6,.8,.7,.6,.9,1962,1.4,.8,1.2,1.5,1.3,1.4,.9,,4.2,.9,1.8,1.8,.6,.9
1959,1.3,1.5,1.3,1.2,1.7,1.9,1.8,1.3,1.5,l.l,.7,.6,.8,,1.2,1.8,1.2,1.6,,,,,,.8,,1.0,,
,,,,,,,,,,,,,,1963,,,,,1.3,1.3,1.3,,1.4,,1.3,,.8,.9
1960,1.1,2.0,1.7,1.7,.9,.9,1.3,.6,.9,.8,1.2,.7,.9,1964,1.2,.9,1.0,.9,.6,1.1,6.0,,.3,.7,.9,.8,.4,.5
,,,,,,,,,,,,,,1965,.5,.4,.4,.3,.3,.2,.2,,.1,3.1',.3,.4,.1,.2
1961,1.2,.9,.7,.7,8,1.3,1.5,.9,1.3,1.6,1.9,1.5,.9,1966,.3,.2,.1,.2,.1,.1,.1,,2.7,.1,.1,.1,.2,.1
1962,1.2,2.0,1.6,1.4,1.3,1.3,1.1,1.2,1.1,.9,.9,.9,.8,1967,.8,.4,1.2,1.1,.8,.9,.2,,1.7,.5,1.4,.9,.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.4
1963,1.4,1.4,1.3,1.0,1.5,1.3,1.7,1.3,1.6,1.8,1.5,1.0,.9,1968,.5,.9,.7,.8,.5,.6,.2,,.3,.4,.1,.5,.6,.2
1964,1.6,1.6,1.1,1.6,1.5,1.2,2.5,1.8,1.6,1.9,1.6,1.5,1.1,1969,.6,.2,.2,.3,.3,.5,.3,,.4,1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.7,.9,.5,1.5
1965,2.2,2.1,2.4,2.0,1.4,1.4,3.1,1.7,2.4,2.6,2.2,2.5,2.2,,2.1,,2.6,,,,2.6,,,,,,,
,,,,,,,,,,,,,,1970,,1.5,,1.4,1.7,1.5,,,4.6,1.6,2.2,2.4,1.9,1.2
1966,2.9,2.7,2.3,2.6,2.3,2.9,4.9,2.5,3.4,3.4,3.1,2.6,2.1,,,,,,,,,,,,,,,
1967,1.8,2.5,2.1,1.6,1.2,1.5,2.7,1.6,1.9,1.8,1.8,1.5,1.2,1971,1.6,,1.2,1.6,,,,,,,,,,
,,,,,,,,,,,,,,,,2.4,,,1.5,1.5,.8,,2.4,1.6,1.4,1.8,1.0,1.5
1968,2.2,1.8,1.5,1.6,1.5,2.0,3.0,2.7,2.3,3.1,2.9,2.0,1.7,1972,,1.1,.8,.6,,,,,,,,,,
,,,,,,,,,,,,,,,.5,,,,.5,.4,.4,,1.3,.3,.2,.3,.2,.3
1969,2.9,2.8,2.8,2.7,2.7,2.7,5.0,2.7,2.9,3.3,2.9,2.2,1.7,,,.2,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,.3,,.3,.5,.7,.1,.1,,.7,.3,.1,.2,.2,.6
1970,1.7,1.8,2.1,1.9,1.4,1.9,2.8,1.3,1.7,1.4,1.2,1.2,1.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,.5,.6,.8,.1,.1,.3,.1,,.4,.1,.2,.2,1.2,1.3
,,,,,,,,,,,,,,1975,,3.1,1.6,2.0,1.7,1.1,1.8,,,,,,,
1971,1.2,1.0,1.1,1.0,.9,1.1,1.9,.9,1.5,1.5,1.5,1.5,.9,,,,,,,,,,,,,,,
1972,2.1,1.9,1.7,2.0,1.7,2.3,2.3,1.7,2.3,3.2,2.5,1.7,1.9,,,,,,,,,,,,,,,
,,,,,,2.6,,2.2,3.1,3.0,3.7,2.4,1.4,,,,,,,,,,,,,,,
1973,2.7,3.1,2.5,2.7,2.4,,3.3,,,,,,,,SIC  34  -   FABRICATED  METAL  PRODUCTS,,,,,,,,,,,,,
1974,2.8,2.9,2.3,2.7,2.6,3.6,4.0,2.8,3.1,3.7,3.4,1.7,1.3,,,,,,,,,,,,,,,
1975,,2.0,1.6,1.4,1.5,1.8,2.3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ALL  EMPLOYEES  -   IN THOUSANDS,,,,,,,,
,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1947,989,997,999,"1,005","1,001",988,984,,962,966,987,989,990,"1,000"
1958,4.1,7.7,5.5,5.6,5.0,4.4,4.0,3.7,3.1,2.7,3.0,2.2,1.7,1948,979,999,990,988,976,969,949,,962,976,989,989,987,977
,See footnotes  at  end  of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,153,,,,,,,,,,,,,,,
